[12Mar2024 00:00:28.982] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2904}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.982] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2905}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.982] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2906}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.982] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2907}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.983] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2908}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.983] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2909}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.983] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2910}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.983] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2911}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.983] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -182], pos: BlockPos{x=6767, y=71, z=-2912}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.984] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6767, y=71, z=-2913}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.984] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6767, y=71, z=-2914}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.984] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -183], pos: BlockPos{x=6767, y=71, z=-2915}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.984] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6766, y=71, z=-2893}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
[12Mar2024 00:00:28.984] [Worker-Main-88/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [422, -181], pos: BlockPos{x=6766, y=71, z=-2894}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / duneons:pillagerpost]
